PTT,argos_date,dive_num,depth,obs_temp,doppio_temp
161291,2018-06-20 12:00:00,88,"2,3,4,5,7,14,18,26,30,32","22.06,21.958,20.853,20.56,18.959,14.078,12.083,10.036,9.35,9.35","23.478,23.412,23.141,22.565,21.035,16.757,15.012,11.103,10.443,10.346"
161291,2018-06-22 08:00:00,55,"2,3","23.95,23.95","23.982,23.943"
161291,2018-06-22 20:00:00,53,"2,5,6,7,10,19,25,28,30,33","22.95,19.267,19.104,17.881,16.495,14.579,10.841,9.89,9.36,9.564","23.314,22.59,21.952,21.093,17.865,12.959,11.512,11.309,11.357,nan"
161291,2018-06-23 00:00:00,52,"2,4,5,8,12,14,16,26,32,36","22.43,21.748,20.086,16.689,14.444,13.626,13.18,12.163,10.067,10.03","22.691,22.526,22.341,19.889,16.889,15.642,14.066,12.076,11.482,nan"
161291,2018-06-23 08:00:00,51,"2,3,4,5,6","22.09,22.09,21.921,21.491,21.36","22.719,22.715,22.67,22.48,22.176"
161291,2018-06-23 12:00:00,50,"2,4,6,8,11,16,17,22,29,39","21.96,21.861,21.277,19.712,18.88,15.576,14.26,10.211,9.54,9.577","22.829,22.792,22.581,21.479,18.865,17.702,17.42,15.259,10.435,nan"
161291,2018-06-23 20:00:00,49,"2,6,15,18,24,25,26,27,29,41","22.28,20.792,19.574,16.489,13.837,11.551,11.551,10.076,9.115,8.75","23.878,23.797,18.615,17.797,14.039,13.345,12.721,12.227,11.655,10.33"
161291,2018-06-24 04:00:00,48,"2,3,4,5,6,7","22.57,22.556,22.543,22.489,21.836,21.72","23.843,23.841,23.835,23.8,23.681,23.388"
161291,2018-06-24 12:00:00,47,"2,4,7,10,15,17,18,19,22,37","22.52,22.52,20.195,19.477,14.446,13.39,11.572,11.516,9.247,8.43","23.476,23.448,22.98,21.678,19.138,18.066,17.568,17.103,15.965,6.618"
161291,2018-06-24 20:00:00,46,"2,4,11,14,20,21,23,24,31,43","22.67,22.67,20.395,17.626,13.627,11.691,11.027,9.699,8.54,8.582","24.089,23.917,20.162,18.71,16.272,15.889,15.248,14.891,9.804,nan"
161291,2018-06-25 04:00:00,45,"2,4,5,7,9,10,12,17,26,43","21.4,20.21,16.426,15.599,15.599,17.265,18.205,17.954,9.496,8.87","24.419,24.342,23.942,22.352,21.349,20.777,19.841,16.991,12.689,nan"
161291,2018-06-27 00:00:00,44,"2,5,6,10,11,12,20,27,39,44","22.34,22.157,21.526,18.111,16.667,15.819,16.129,11.82,10.88,11.006","22.969,22.896,22.772,18.079,17.046,16.143,13.742,13.427,10.306,nan"
161291,2018-06-27 04:00:00,43,"2,3,4,5,6","22.33,22.316,22.299,22.267,22.24","22.629,22.63,22.631,22.633,22.644"
161291,2018-06-27 16:00:00,42,"2,6,10,11,12,13,15,19,29,44","22.22,20.853,17.691,16.177,15.748,15.694,14.756,12.384,9.651,8.82","22.61,22.582,19.677,16.208,13.73,12.553,12.055,12.069,11.227,nan"
161291,2018-06-28 08:00:00,41,"2,3","22.79,22.711","22.611,22.599"
161291,2018-06-28 12:00:00,40,"2,4,8,10,12,14,17,28,34,42","22.73,22.62,21.046,18.88,17.803,15.526,13.47,11.193,9.413,8.93","22.67,22.574,20.853,18.573,15.402,13.125,11.988,13.352,11.582,nan"
161291,2018-06-28 16:00:00,39,"2,7,11,14,22,23,24,25,31,44","22.25,20.915,18.244,16.909,12.131,11.11,10.953,10.024,9.16,9.252","22.523,21.589,12.661,10.591,12.265,12.392,12.472,12.475,11.389,nan"
161291,2018-06-29 16:00:00,38,"2,3,8,12,16,19,22,29,33,37","22.48,22.48,20.732,17.792,16.003,15.129,13.603,8.984,8.61,8.652","23.91,23.794,19.866,14.259,12.127,12.266,12.998,12.369,11.251,10.813"
161291,2018-06-30 00:00:00,37,"2,5,11,12,14,17,20,29,35,39","24.56,22.591,19.887,18.355,16.151,13.4,12.165,10.571,8.93,9.102","24.788,24.086,18.592,17.94,16.674,15.087,14.565,13.958,12.476,nan"
161291,2018-06-30 04:00:00,36,"2,3","24.59,24.49","24.706,24.487"
