,PTT,dive_num,argos_date,lat_argos,lon_argos,gps_date,lat_gps,lon_gps,depth,obs_temp,FVCOM_temp,doppio_temp,espresso_temp
3393,149443,92,2016-09-14 04:00:00,38.877199106216906,-73.65471199537245,2016-09-14 01:56:49,38.877199106216906,-73.65471199537245,6,21.987,22.695412,,22.706127166748047
3394,149443,92,2016-09-14 04:00:00,38.877199106216906,-73.65471199537245,2016-09-14 01:56:49,38.877199106216906,-73.65471199537245,7,21.844,22.565607,,22.706663131713867
3395,149443,92,2016-09-14 04:00:00,38.877199106216906,-73.65471199537245,2016-09-14 01:56:49,38.877199106216906,-73.65471199537245,8,21.699,22.43793,,22.707054138183594
3396,149443,92,2016-09-14 04:00:00,38.877199106216906,-73.65471199537245,2016-09-14 01:56:49,38.877199106216906,-73.65471199537245,9,21.583000000000002,22.43793,,22.707054138183594
3397,149443,92,2016-09-14 04:00:00,38.877199106216906,-73.65471199537245,2016-09-14 01:56:49,38.877199106216906,-73.65471199537245,10,21.377,22.309992,,22.707509994506836
3398,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,2,21.56,22.6629,,22.023225784301758
3399,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,3,21.553,22.67852,,22.02362060546875
3400,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,4,21.552,22.684193,,22.02397346496582
3401,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,6,21.537,22.696186,,22.02461051940918
3402,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,7,21.515,22.70616,,22.02491569519043
3403,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,8,21.515,22.709894,,22.025217056274414
3404,149443,93,2016-09-17 04:00:00,38.9380349591382,-73.78469040985635,2016-09-17 04:48:22,38.9380349591382,-73.78469040985635,10,21.513,22.541489,,22.02552032470703
3405,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,2,21.46,22.405706,,21.914026260375977
3406,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,22,20.369,21.458652,,20.976755142211914
3407,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,24,19.18,21.299475,,19.44724464416504
3408,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,26,18.823,21.223124,,18.05919075012207
3409,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,27,18.09,21.226166,,17.173259735107422
3410,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,28,16.615,21.232458,,17.173259735107422
3411,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,31,15.880999999999998,21.263977,,14.173561096191406
3412,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,33,14.620999999999999,21.276712,,12.622366905212402
3413,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,37,14.272,21.280443,,12.411136627197266
3414,149443,94,2016-09-17 12:00:00,38.94824724415794,-73.79210805801787,2016-09-17 11:05:30,38.94824724415794,-73.79210805801787,43,12.52,21.280443,,12.410649299621582
3415,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,2,21.64,22.722984,,22.464405059814453
3416,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,3,21.631999999999998,22.611568,,22.464794158935547
3417,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,4,21.585,22.520782,,22.46510887145996
3418,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,5,21.583000000000002,22.442469,,22.465394973754883
3419,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,6,21.52,22.442469,,22.465660095214844
3420,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,9,21.52,22.205011,,22.464282989501953
3421,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,10,21.539,22.093842,,22.464282989501953
3422,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,11,21.561,21.965246,,22.446401596069336
3423,149443,95,2016-09-18 04:00:00,38.91462323907489,-73.79071415624608,2016-09-18 05:39:32,38.91462323907489,-73.79071415624608,12,21.575,21.824787,,22.390445709228516
3424,149443,96,2016-09-18 08:00:00,38.88945100256985,-73.77972169404346,2016-09-18 05:58:14,38.88945100256985,-73.77972169404346,2,21.993000000000002,22.695753,,22.350540161132812
3425,149443,96,2016-09-18 08:00:00,38.88945100256985,-73.77972169404346,2016-09-18 05:58:14,38.88945100256985,-73.77972169404346,3,21.98,22.650782,,22.350561141967773
3426,149443,96,2016-09-18 08:00:00,38.88945100256985,-73.77972169404346,2016-09-18 05:58:14,38.88945100256985,-73.77972169404346,5,21.98,22.505123,,22.350521087646484
3427,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,2,22.353,22.787401,,22.72708511352539
3428,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,9,22.49,22.436565,,22.726165771484375
3429,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,15,21.581,21.85797,,22.70525360107422
3430,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,23,19.152,21.310072,,21.143583297729492
3431,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,29,16.493,20.97194,,19.132200241088867
3432,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,33,15.523,20.793154,,15.931442260742188
3433,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,38,15.017000000000001,20.508053,,12.63298511505127
3434,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,39,13.91,20.508053,,12.578324317932129
3435,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,41,13.91,20.508053,,12.571566581726074
3436,149443,97,2016-09-23 12:00:00,38.898104252460925,-73.88446496866585,2016-09-23 10:32:37,38.898104252460925,-73.88446496866585,45,15.248,20.508053,,12.571566581726074
3437,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,2,22.05,23.157953,,23.291805267333984
3438,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,4,21.552,22.836842,,23.292064666748047
3439,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,6,20.374000000000002,22.63031,,23.25392723083496
3440,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,15,19.595,21.637346,,22.76567840576172
3441,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,20,17.819000000000003,21.242973,,21.860580444335938
3442,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,21,16.785999999999998,21.17247,,21.591678619384766
3443,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,25,15.970999999999998,20.908773,,20.614694595336914
3444,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,27,14.802,20.785124,,19.769010543823242
3445,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,41,12.99,20.319677,,12.51237964630127
3446,149443,98,2016-09-23 20:00:00,38.89261533782624,-73.8333538869331,2016-09-23 19:35:26,38.89261533782624,-73.8333538869331,44,12.99,20.319677,,12.51237964630127
3447,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,2,19.98,22.652714,,22.635738372802734
3448,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,16,19.099,20.713064,,22.603450775146484
3449,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,21,17.976,20.139244,,21.462739944458008
3450,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,24,15.876,19.838617,,20.758241653442383
3451,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,26,15.642999999999999,19.654627,,19.657442092895508
3452,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,32,12.860999999999999,19.130314,,15.568739891052246
3453,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,33,13.300999999999998,19.022692,,14.831374168395996
3454,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,35,12.385,18.763302,,14.09278392791748
3455,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,36,12.792,18.630669,,13.3289213180542
3456,149443,99,2016-09-24 16:00:00,38.825542547565384,-73.77127327325884,2016-09-24 14:01:25,38.825542547565384,-73.77127327325884,48,11.34,18.505363,,11.515891075134277
3457,149443,100,2016-09-26 04:00:00,38.86984305301578,-73.9623032358312,2016-09-26 04:02:44,38.86984305301578,-73.9623032358312,2,21.27,22.417023,,21.57179832458496
3458,149443,100,2016-09-26 04:00:00,38.86984305301578,-73.9623032358312,2016-09-26 04:02:44,38.86984305301578,-73.9623032358312,3,21.366,22.427622,,21.572410583496094
