PTT,argos_date,lat_argos,lon_argos,gps_date,lat_gps,lon_gps,depth,obs_temp,doppio_temp
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,2,26.67,26.551
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,9,25.959,26.332
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,12,20.452,25.191
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,14,18.304,21.773
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,22,14.315,12.755
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,24,14.121,11.281
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,26,11.909,10.438
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,29,11.844,10.274
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,30,10.568,10.266
161296,2018-08-15 08:00:00,38.0768574192,-74.3225722712,2018-08-15 10:04:57,38.0519294739,-74.3226013184,46,10.52,10.168
